Customer ID,Recency,Frequency,InvoiceCount,Monetary,CLV,Predicted_CLV,Segment
12346.0,165,11,11,372.86,33.89636363636364,141.5630779751595,At Risk
12347.0,3,2,2,1323.32,661.66,534.2548205352983,VIP
12348.0,74,1,1,222.16,222.16,301.21074849260185,Regular
12349.0,43,3,3,2671.14,890.38,656.3452209624932,VIP
12351.0,11,1,1,300.93,300.93,346.5100302295416,Loyal
12352.0,11,2,2,343.8,171.9,276.185788321791,Regular
12353.0,44,1,1,317.76,317.76,352.55626428254425,Loyal
12355.0,203,1,1,488.21000000000004,488.21000000000004,427.5648914863976,VIP
12356.0,16,3,3,3562.25,1187.4166666666667,822.2849696819599,VIP
12357.0,24,2,2,12079.99,6039.995,3202.2013991853173,VIP
12358.0,11,3,3,2719.01,906.3366666666667,670.4196249785145,VIP
12359.0,61,6,6,2563.36,427.2266666666667,402.8277075234544,VIP
12360.0,15,5,5,1590.83,318.166,345.70344492268174,Loyal
12361.0,98,3,3,321.35,107.11666666666667,231.01173137945082,At Risk
12362.0,374,1,1,130.0,130.0,230.24136987941682,At Risk
12366.0,269,1,1,500.24,500.24,428.0217543738893,VIP
12368.0,264,1,1,917.6999999999999,917.6999999999999,643.0142241864352,VIP
12369.0,49,3,3,1791.15,597.0500000000001,497.62501137073775,VIP
12370.0,260,3,3,774.62,258.20666666666665,298.84140503663536,Regular
12371.0,45,3,3,2179.42,726.4733333333334,567.8563294480412,VIP
12373.0,260,2,2,763.0500000000001,381.52500000000003,366.63979737617046,Loyal
12374.0,57,3,3,2246.29,748.7633333333333,578.8685259345623,VIP
12376.0,25,2,2,503.15,251.575,317.00312752437486,Regular
12377.0,17,2,2,1798.2,899.1,658.0868463004251,VIP
12378.0,198,1,1,1407.7,1407.7,883.3116649443771,VIP
12379.0,58,2,2,767.98,383.99,384.01679883773556,Loyal
12380.0,101,7,7,6951.49,993.0699999999999,745.3739249419544,VIP
12385.0,15,1,1,1938.4,1938.4,1190.6459906937578,VIP
12386.0,2,1,1,258.9,258.9,325.7539164990651,Loyal
12387.0,51,1,1,143.94,143.94,262.9281614385162,At Risk
12388.0,81,2,2,1120.45,560.225,474.81951225231734,VIP
12389.0,38,3,3,1433.33,477.77666666666664,434.3551558212664,VIP
12391.0,100,5,5,2312.53,462.50600000000003,419.7773031652471,VIP
12392.0,227,1,1,234.75000000000003,234.75000000000003,295.6211829518707,Regular
12393.0,18,2,2,816.85,408.425,400.28617600944676,Loyal
12395.0,7,4,4,2048.64,512.16,455.7277382264007,VIP
12396.0,310,1,1,931.43,931.43,644.2751090096242,VIP
12399.0,21,3,3,853.65,284.55,331.50659791163457,Loyal
12400.0,50,1,1,205.25,205.25,294.48990587457683,Regular
12402.0,28,5,5,1031.3,206.26,281.2541838741951,Regular
12403.0,157,1,1,591.6600000000001,591.6600000000001,484.1395092062282,VIP
12404.0,318,1,1,63.24,63.24,200.40150705396314,At Risk
12406.0,35,3,3,2975.06,991.6866666666666,708.474248754907,VIP
12408.0,21,3,3,1452.22,484.0733333333333,438.7084198323969,VIP
12409.0,56,4,4,12346.619999999999,3086.6549999999997,1929.1146312730739,VIP
12410.0,138,1,1,320.38,320.38,346.39122156009876,Loyal
12411.0,45,1,1,346.9,346.9,367.4874067172474,Loyal
12412.0,38,3,3,1370.05,456.68333333333334,423.48317356386576,VIP
12413.0,38,1,1,241.35,241.35,313.8940164315329,Regular
12414.0,99,3,3,390.0,130.0,242.3222917606862,At Risk
12415.0,11,7,7,19543.84,2791.977142857143,1841.7718803380915,VIP
12416.0,292,1,1,202.56,202.56,273.8211415139893,Regular
12417.0,46,11,11,3167.81,287.9827272727273,304.9870915030577,Regular
12418.0,49,3,3,1352.62,450.8733333333333,419.28672611992613,VIP
12419.0,21,2,2,503.01,251.505,317.27714533939746,Regular
12421.0,51,2,2,291.56,145.78,259.79634698750965,At Risk
12422.0,30,14,14,4428.24,316.30285714285714,328.3220239351966,Loyal
12423.0,23,2,2,763.08,381.54,385.4863004951645,Loyal
12424.0,58,2,2,1579.07,789.535,596.4609959798875,VIP
